dataset_name,classifier_name,accuracy
har:12->16,Raincoat,0.6909090909000001
ford:FordB->FordA,SASA,0.48712121210000003
ultrasoundMuscleContraction:subject1->subject8,OTDA,0.581
ford:FordA->FordB,Raincoat,0.8148148148000001
sleepStage:12->5,SASA,0.3420138889
har:7->13,CoTMix,0.8686868687
wisdm:27->3,InceptionDANN,0.41379310340000003
ultrasoundMuscleContraction:subject5->subject4,VRADA,0.5075000000000001
cwrBearing:0->2,Inception,0.8027290448000001
cwrBearing:0->1,Inception,0.8484126984
hhar:e->f,OTDA,0.5964187328
mfd:1->0,OTDA,0.4761376249
ultrasoundMuscleContraction:subject8->subject6,InceptionCDAN,0.645
wisdm:5->1,InceptionRain,0.8541666667000001
mfd:1->2,CoDATS,0.7536071032
sleepStage:0->11,Raincoat,0.5664739884000001
sportsActivities:p5->p4,CoTMix,0.3552631579
cwrBearing:0->3,InceptionSASA,0.643776824
sleepStage:0->11,VRADA,0.4547206166
sportsActivities:p5->p4,OTDA,0.4692982456
sleepStage:9->14,InceptionRain,0.7802385009
mfd:1->0,Inception,0.4395116537
ultrasoundMuscleContraction:subject2->subject7,InceptionSASA,0.536
sleepStage:14->9,Inception,0.7202380952
ultrasoundMuscleContraction:subject3->subject5,InceptionCDAN,0.359
ultrasoundMuscleContraction:subject8->subject6,InceptionRain,0.645
hhar:c->d,Raincoat,0.5108401084
cwrBearing:2->0,InceptionRain,0.873201918
wisdm:5->1,InceptionSASA,0.6875
hhar:c->d,InceptionSASA,0.5623306233
hhar:e->f,InceptionDANN,0.8539944904000001
ford:FordA->FordB,SASA,0.49382716050000003
cwrBearing:3->0,SASA,0.5301012254
hhar:c->d,Inception,0.5853658537
har:2->11,InceptionRain,0.8421052632
har:6->23,SASA,0.5089285714
cwrBearing:2->0,CoTMix,0.8614810868
miniTimeMatch:FR1->DK1,Inception,0.5857588358
sportsActivities:p6->p5,Inception,0.5219298246
hhar:a->b,InceptionCDAN,0.5848375451
mfd:1->0,InceptionDANN,0.3662597114
sportsActivities:p4->p2,InceptionRain,0.8464912281
sleepStage:16->1,CoDATS,0.6346433770000001
cwrBearing:2->0,InceptionDANN,0.9584443261000001
cwrBearing:0->1,VRADA,0.4746031746
sleepStage:9->14,InceptionCDAN,0.8143100511
OnHWeq:OnHW_equations_L->OnHW_equations_R,OTDA,0.4190700412
mfd:1->2,Inception,0.6836847947
cwrBearing:0->3,Raincoat,0.7752633632
wisdm:21->31,InceptionMix,0.4647887324
sportsActivities:p4->p2,Inception,0.6096491228
sportsActivities:p4->p2,VRADA,0.3684210526
miniTimeMatch:FR1->FR2,InceptionMix,0.1401593902
wisdm:21->31,Raincoat,0.5492957746
