dataset_name,classifier_name,accuracy
har:12->16,Raincoat,0.6181818182000001
ford:FordB->FordA,SASA,0.5128787879
ultrasoundMuscleContraction:subject1->subject8,OTDA,0.581
ford:FordA->FordB,Raincoat,0.8024691358
sleepStage:12->5,SASA,0.39583333330000003
har:7->13,CoTMix,0.7676767677
wisdm:27->3,InceptionDANN,0.3275862069
ultrasoundMuscleContraction:subject5->subject4,VRADA,0.5075000000000001
cwrBearing:0->2,Inception,0.8046783626
cwrBearing:0->1,Inception,0.8380952381000001
hhar:e->f,OTDA,0.6170798898000001
mfd:1->0,OTDA,0.4295227525
ultrasoundMuscleContraction:subject8->subject6,InceptionCDAN,0.34700000000000003
wisdm:5->1,InceptionRain,0.4166666667
mfd:1->2,CoDATS,0.7347391787
sleepStage:0->11,Raincoat,0.6319845857
sportsActivities:p5->p4,CoTMix,0.4210526316
cwrBearing:0->3,InceptionSASA,0.7151775263
sleepStage:0->11,VRADA,0.429672447
sportsActivities:p5->p4,OTDA,0.4561403509
sleepStage:9->14,InceptionRain,0.8466780239
mfd:1->0,Inception,0.37069922310000003
ultrasoundMuscleContraction:subject2->subject7,InceptionSASA,0.55625
sleepStage:14->9,Inception,0.6785714286
ultrasoundMuscleContraction:subject3->subject5,InceptionCDAN,0.3885
ultrasoundMuscleContraction:subject8->subject6,InceptionRain,0.29150000000000004
hhar:c->d,Raincoat,0.48238482380000003
cwrBearing:2->0,InceptionRain,0.9339371337000001
wisdm:5->1,InceptionSASA,0.625
hhar:c->d,InceptionSASA,0.6233062331
hhar:e->f,InceptionDANN,0.8553719008
ford:FordA->FordB,SASA,0.6666666667000001
cwrBearing:3->0,SASA,0.6126798082
hhar:c->d,Inception,0.5731707317
har:2->11,InceptionRain,0.8105263158
har:6->23,SASA,0.5089285714
cwrBearing:2->0,CoTMix,0.8012786361
miniTimeMatch:FR1->DK1,Inception,0.6398128898000001
sportsActivities:p6->p5,Inception,0.4166666667
hhar:a->b,InceptionCDAN,0.4464500602
mfd:1->0,InceptionDANN,0.4705882353
sportsActivities:p4->p2,InceptionRain,0.6359649123000001
sleepStage:16->1,CoDATS,0.7933042213
cwrBearing:2->0,InceptionDANN,0.9499200852
cwrBearing:0->1,VRADA,0.4654761905
sleepStage:9->14,InceptionCDAN,0.8432708688
OnHWeq:OnHW_equations_L->OnHW_equations_R,OTDA,0.43084167160000003
mfd:1->2,Inception,0.7769145394
cwrBearing:0->3,Raincoat,0.8306671869000001
wisdm:21->31,InceptionMix,0.7183098592
sportsActivities:p4->p2,Inception,0.5570175439
sportsActivities:p4->p2,VRADA,0.3684210526
miniTimeMatch:FR1->FR2,InceptionMix,0.1401593902
wisdm:21->31,Raincoat,0.7183098592
ultrasoundMuscleContraction:subject8->subject6,OTDA,0.645
har:9->18,InceptionCDAN,0.7818181818000001
hhar:c->d,CoTMix,0.7439024390000001
sleepStage:7->18,InceptionDANN,0.7544169611
sportsActivities:p1->p8,InceptionCDAN,0.33333333330000003
hhar:e->f,SASA,0.5303030303
sportsActivities:p7->p3,InceptionDANN,0.5438596491000001
sportsActivities:p5->p4,InceptionRain,0.6622807018
sleepStage:16->1,VRADA,0.5822416303
wisdm:5->3,Inception,0.0344827586
sportsActivities:p1->p8,InceptionSASA,0.39473684210000004
har:12->16,InceptionDANN,0.6545454545
mfd:1->2,InceptionMix,0.6559378468
ultrasoundMuscleContraction:subject5->subject4,OTDA,0.5075000000000001
hhar:e->f,InceptionSASA,0.5344352617
sleepStage:12->5,VRADA,0.5520833333
sportsActivities:p7->p3,InceptionMix,0.0526315789
har:9->18,CoTMix,0.5454545455
har:6->23,InceptionRain,0.9017857143
wisdm:3->5,CoDATS,0.6956521739
miniTimeMatch:FR2->DK1,CoTMix,0.3782051282
har:6->23,Inception,0.6696428571
sleepStage:9->14,InceptionMix,0.7189097104000001
har:9->18,InceptionRain,0.8090909091
wisdm:7->30,OTDA,0.4390243902
har:9->18,Inception,0.2272727273
hhar:a->b,OTDA,0.44163658240000003
miniTimeMatch:AT1->FR2,VRADA,0.7311157311
sleepStage:0->11,InceptionSASA,0.3121387283
har:2->11,CoTMix,0.5157894737000001
sleepStage:0->11,SASA,0.27745664740000003
miniTimeMatch:FR1->FR2,OTDA,0.4391891892
hhar:d->c,Inception,0.5541401274000001
ultrasoundMuscleContraction:subject8->subject6,Inception,0.2735
ptbXLecg:2->1,OTDA,0.5846817691
mfd:0->1,InceptionDANN,0.4539400666
mfd:1->3,Inception,0.9578246393000001
wisdm:3->5,InceptionRain,0.6304347826000001
ultrasoundMuscleContraction:subject1->subject8,CoDATS,0.583625
sportsActivities:p5->p4,Inception,0.5921052632
wisdm:31->21,Inception,0.0862068966
ultrasoundMuscleContraction:subject8->subject6,SASA,0.632
hhar:a->b,InceptionMix,0.6221419976
ptbXLecg:2->1,InceptionMix,0.6914778857
cwrBearing:3->0,Raincoat,0.926478423
hhar:c->d,OTDA,0.44715447150000004
cwrBearing:3->0,CoDATS,0.7400106553
ultrasoundMuscleContraction:subject8->subject6,InceptionSASA,0.5725
miniTimeMatch:FR1->AT1,InceptionSASA,0.5887040887
OnHWeq:OnHW_equations_R->OnHW_equations_L,InceptionDANN,0.5063694268
ultrasoundMuscleContraction:subject1->subject8,InceptionMix,0.331375
ultrasoundMuscleContraction:subject3->subject5,Inception,0.35850000000000004
mfd:1->3,OTDA,0.5338512764000001
ptbXLecg:1->3,InceptionMix,0.5844155844000001
ultrasoundMuscleContraction:subject1->subject8,InceptionSASA,0.5908749999999999
mfd:0->1,CoDATS,0.4550499445
cwrBearing:0->3,InceptionCDAN,0.8193523215
ptbXLecg:0->1,OTDA,0.5846817691
hhar:e->f,InceptionRain,0.8526170799
har:12->16,OTDA,0.5727272727
mfd:1->0,SASA,0.45948945620000003
mfd:1->2,SASA,0.5183129856
sleepStage:9->14,SASA,0.43611584330000003
ultrasoundMuscleContraction:subject2->subject7,Raincoat,0.47200000000000003
ultrasoundMuscleContraction:subject5->subject4,Raincoat,0.47600000000000003
sleepStage:16->1,InceptionMix,0.4090247453
ford:FordA->FordB,InceptionCDAN,0.7345679012
miniTimeMatch:AT1->FR2,SASA,0.2726957727
har:2->11,InceptionDANN,0.5789473684
har:6->23,OTDA,0.7946428571
ford:FordB->FordA,OTDA,0.49242424240000005
cwrBearing:1->0,Inception,0.8710708578
sportsActivities:p1->p8,InceptionDANN,0.44298245610000003
hhar:b->a,Inception,0.4571045576
mfd:0->3,InceptionSASA,0.5027746948
cwrBearing:2->0,InceptionSASA,0.6073521577000001
wisdm:3->5,VRADA,0.652173913
har:12->16,CoTMix,0.6454545455
ptbXLecg:1->3,SASA,0.4285714286
miniTimeMatch:FR2->DK1,Raincoat,0.7631670132
har:12->16,InceptionMix,0.5818181818
mfd:1->3,VRADA,0.46059933410000004
mfd:0->3,InceptionMix,0.5049944506
sleepStage:12->5,Inception,0.7361111111
OnHWeq:OnHW_equations_R->OnHW_equations_L,Raincoat,0.5249469214
sportsActivities:p5->p6,CoTMix,0.3157894737
miniTimeMatch:AT1->FR1,Inception,0.7493069993
