dataset_name,classifier_name,accuracy
har:12->16,Raincoat,0.8181818182
ford:FordB->FordA,SASA,0.5810606061
ultrasoundMuscleContraction:subject1->subject8,OTDA,0.581
ford:FordA->FordB,Raincoat,0.8271604938
sleepStage:12->5,SASA,0.4375
har:7->13,CoTMix,0.9191919192
wisdm:27->3,InceptionDANN,0.3620689655
ultrasoundMuscleContraction:subject5->subject4,VRADA,0.5075000000000001
cwrBearing:0->2,Inception,0.8323586745
cwrBearing:0->1,Inception,0.9353174603000001
hhar:e->f,OTDA,0.5771349862
mfd:1->0,OTDA,0.5283018868
ultrasoundMuscleContraction:subject8->subject6,InceptionCDAN,0.649
wisdm:5->1,InceptionRain,0.7916666667000001
mfd:1->2,CoDATS,0.7192008879
sleepStage:0->11,Raincoat,0.6820809249
sportsActivities:p5->p4,CoTMix,0.44298245610000003
cwrBearing:0->3,InceptionSASA,0.7023019899
sleepStage:0->11,VRADA,0.46435452790000004
sportsActivities:p5->p4,OTDA,0.46052631580000003
sleepStage:9->14,InceptionRain,0.7529812606
mfd:1->0,Inception,0.6881243063
ultrasoundMuscleContraction:subject2->subject7,InceptionSASA,0.6262500000000001
sleepStage:14->9,Inception,0.7693452381
ultrasoundMuscleContraction:subject3->subject5,InceptionCDAN,0.359
ultrasoundMuscleContraction:subject8->subject6,InceptionRain,0.645
hhar:c->d,Raincoat,0.7520325203
cwrBearing:2->0,InceptionRain,0.9477890250000001
wisdm:5->1,InceptionSASA,0.375
hhar:c->d,InceptionSASA,0.5745257453
hhar:e->f,InceptionDANN,0.8567493113
ford:FordA->FordB,SASA,0.462962963
cwrBearing:3->0,SASA,0.5764517848
hhar:c->d,Inception,0.5934959350000001
har:2->11,InceptionRain,0.9157894737000001
har:6->23,SASA,0.7142857143
cwrBearing:2->0,CoTMix,0.8438998402000001
miniTimeMatch:FR1->DK1,Inception,0.6638946639000001
sportsActivities:p6->p5,Inception,0.6842105263
hhar:a->b,InceptionCDAN,0.6835138387
mfd:1->0,InceptionDANN,0.4550499445
sportsActivities:p4->p2,InceptionRain,0.6359649123000001
sleepStage:16->1,CoDATS,0.7772925764
cwrBearing:2->0,InceptionDANN,0.9381992541
cwrBearing:0->1,VRADA,0.46626984130000004
sleepStage:9->14,InceptionCDAN,0.6780238501
OnHWeq:OnHW_equations_L->OnHW_equations_R,OTDA,0.4569915076
mfd:1->2,Inception,0.794672586
cwrBearing:0->3,Raincoat,0.8704642996
wisdm:21->31,InceptionMix,0.8169014085
